Trial,method,g_cor_mean,g_cor_sd,Managed_Treatment,Breeding_Cycle
OF2013,GBLUP+H,0.425439738248276,0.117158973752774,Optimal Flat,2013-14
OF2013,GBLUP+H+A,0.4893814589190764,0.12958406959659494,Optimal Flat,2013-14
OF2013,MegaLMM,0.19602977407686611,0.07159873241471217,Optimal Flat,2013-14
OF2013,GOBLUP,0.40715156551008536,0.12055837582721277,Optimal Flat,2013-14
OF2014,ABLUP,0.41003027453934,0.0736310167064997,Optimal Flat,2014-15
OF2014,GBLUP,0.475047150486943,0.0960409229596111,Optimal Flat,2014-15
OF2014,BayesianLasso,0.472935973612329,0.0955029382684038,Optimal Flat,2014-15
OF2014,RKHS,0.53236292267422,0.0820260062201069,Optimal Flat,2014-15
OF2014,HBLUP,0.544236381163446,0.0604142885388623,Optimal Flat,2014-15
OF2014,GBLUP+H,0.627246689250319,0.0492408006588662,Optimal Flat,2014-15
OF2014,GBLUP+H+A,0.8140056428067365,0.05043626573537814,Optimal Flat,2014-15
OF2014,MegaLMM,0.7019391548681163,0.06087958236567038,Optimal Flat,2014-15
OF2014,GOBLUP,0.8049166052224097,0.05418674393058324,Optimal Flat,2014-15
OF2015,ABLUP,0.358082472095629,0.106496103854468,Optimal Flat,2015-16
OF2015,GBLUP,0.41305887759168,0.0870566273658705,Optimal Flat,2015-16
OF2015,BayesianLasso,0.402010085340442,0.0788229754439764,Optimal Flat,2015-16
OF2015,RKHS,0.451927079438337,0.0998733314238479,Optimal Flat,2015-16
OF2015,HBLUP,0.393949903669501,0.061335075350243,Optimal Flat,2015-16
OF2015,GBLUP+H,0.528287828689405,0.0622235310308519,Optimal Flat,2015-16
OF2015,GBLUP+H+A,0.7271172952338468,0.05932867123619134,Optimal Flat,2015-16
OF2015,MegaLMM,0.6344358243503444,0.0662501216318064,Optimal Flat,2015-16
OF2015,GOBLUP,0.7314731267196914,0.04973492134326816,Optimal Flat,2015-16
OF2016,ABLUP,0.513062108146033,0.0750205392185601,Optimal Flat,2016-17
OF2016,GBLUP,0.54040032831537,0.0660269884420228,Optimal Flat,2016-17
OF2016,BayesianLasso,0.535438250793481,0.0614134778419916,Optimal Flat,2016-17
OF2016,RKHS,0.627153318312062,0.0691507257540761,Optimal Flat,2016-17
OF2016,HBLUP,0.627933943053178,0.0667795935166311,Optimal Flat,2016-17
OF2016,GBLUP+H,0.723831335051659,0.0544526177947945,Optimal Flat,2016-17
OF2016,GBLUP+H+A,0.8899081306608431,0.03295258798030354,Optimal Flat,2016-17
OF2016,MegaLMM,0.8101961036548779,0.02850104807547646,Optimal Flat,2016-17
OF2016,GOBLUP,0.8843915802358923,0.0289954422854335,Optimal Flat,2016-17
SD2013,ABLUP,0.496826945438437,0.0991649345877673,Severe Drought,2013-14
SD2013,GBLUP,0.437566954690025,0.116906556732921,Severe Drought,2013-14
SD2013,BayesianLasso,0.431094645892285,0.113216863897297,Severe Drought,2013-14
SD2013,RKHS,0.525619774491711,0.121067172122996,Severe Drought,2013-14
SD2013,HBLUP,0.438201397992427,0.104650830613978,Severe Drought,2013-14
SD2013,GBLUP+H,0.550903228548443,0.0843404754865286,Severe Drought,2013-14
SD2013,GBLUP+H+A,0.829852299949259,0.04273042054874887,Severe Drought,2013-14
SD2013,MegaLMM,0.7298805895515998,0.05729001534747417,Severe Drought,2013-14
SD2013,GOBLUP,0.8079847379366202,0.04711569355713092,Severe Drought,2013-14
SD2014,ABLUP,0.328761016123106,0.0942533592413164,Severe Drought,2014-15
SD2014,GBLUP,0.384541682633634,0.101939480477038,Severe Drought,2014-15
SD2014,BayesianLasso,0.381138747102587,0.097221175955235,Severe Drought,2014-15
SD2014,RKHS,0.456460063336062,0.112933969504218,Severe Drought,2014-15
SD2014,HBLUP,0.336151010501629,0.0810953429980485,Severe Drought,2014-15
SD2014,GBLUP+H,0.535052250406051,0.0928328325037196,Severe Drought,2014-15
SD2014,GBLUP+H+A,0.6776253589236818,0.0947181834321465,Severe Drought,2014-15
SD2014,MegaLMM,0.5361299767772032,0.08193662255028926,Severe Drought,2014-15
SD2014,GOBLUP,0.6544336403545837,0.09023458074869992,Severe Drought,2014-15
SD2015,ABLUP,0.361322582068209,0.061022798106698,Severe Drought,2015-16
SD2015,GBLUP,0.502889286541361,0.0909755573808605,Severe Drought,2015-16
SD2015,BayesianLasso,0.500351081532658,0.0907773909290689,Severe Drought,2015-16
SD2015,RKHS,0.565256865403198,0.0848216532859981,Severe Drought,2015-16
SD2015,HBLUP,0.563554973898139,0.0554520117635156,Severe Drought,2015-16
SD2015,GBLUP+H,0.635590383297138,0.0535888999930263,Severe Drought,2015-16
SD2015,GBLUP+H+A,0.9027724556856724,0.02079568959102398,Severe Drought,2015-16
SD2015,MegaLMM,0.8097651205111068,0.0379271683067318,Severe Drought,2015-16
SD2015,GOBLUP,0.911604418775742,0.02012134677299603,Severe Drought,2015-16
SD2016,ABLUP,0.57208109183007,0.0612426345135265,Severe Drought,2016-17
SD2016,GBLUP,0.487440738678779,0.0854765447683974,Severe Drought,2016-17
SD2016,BayesianLasso,0.490951511623673,0.0845908080787058,Severe Drought,2016-17
SD2016,RKHS,0.570066269961107,0.0744458672046249,Severe Drought,2016-17
SD2016,HBLUP,0.60631810553728,0.0672675802144621,Severe Drought,2016-17
SD2016,GBLUP+H,0.684679800296756,0.0679287002058478,Severe Drought,2016-17
SD2016,GBLUP+H+A,0.9067422208581434,0.02378104460470299,Severe Drought,2016-17
SD2016,MegaLMM,0.8021962491392278,0.03241855167926454,Severe Drought,2016-17
SD2016,GOBLUP,0.9038677829074632,0.02227978624374746,Severe Drought,2016-17
H2013,FSBLUP,0.8067846623966546,0.04071929358141239,Heat,2013-14
H2014,FSBLUP,0.7399721313131161,0.05602207511479133,Heat,2014-15
H2015,FSBLUP,0.8815884425752496,0.023649363765270694,Heat,2015-16
H2016,FSBLUP,0.8818129635952918,0.03083197983230788,Heat,2016-17
MD2013,FSBLUP,0.6892888508917534,0.06491776595291429,Moderate Drought,2013-14
MD2014,FSBLUP,0.7515021777333593,0.045251894219120486,Moderate Drought,2014-15
MD2015,FSBLUP,0.8351371089795125,0.047046062705966944,Moderate Drought,2015-16
