ph_data,p_cor,g_cor
Hyper_BLUE_736nm::0207,-0.025469603770900295,-0.021907307002115888
Hyper_BLUE_744nm::0207,-0.0074479093233975275,9.244246404329181e-5
Hyper_BLUE_751nm::0207,-0.0015515901219122269,0.010904645582571476
Hyper_BLUE_759nm::0207,0.01866494459859954,0.03395386604405162
Hyper_BLUE_766nm::0207,0.003370190542478851,0.02079380811099283
Hyper_BLUE_773nm::0207,0.00950138627998638,0.027159217668166806
Hyper_BLUE_781nm::0207,-0.00868503305919905,0.006994769690425557
Hyper_BLUE_788nm::0207,-0.0011909030316668487,0.015408037503633884
Hyper_BLUE_795nm::0207,9.435438007890522e-4,0.011623931410370844
Hyper_BLUE_803nm::0207,-0.0021459488899171616,0.016823451747755493
Hyper_BLUE_810nm::0207,-0.012472734045360322,0.0012767765259971155
Hyper_BLUE_818nm::0207,-0.01945780231301349,-0.0025073033886675563
Hyper_BLUE_825nm::0207,-0.016136913253856754,-8.311101177962986e-4
Hyper_BLUE_832nm::0207,-0.013826583261120174,0.0023262202578898604
Hyper_BLUE_840nm::0207,-0.025039596011973007,-0.004446976303894721
Hyper_BLUE_847nm::0207,-0.017861811394101472,0.0012784453401308963
Hyper_BLUE_398nm::0214,0.033519008214916615,0.039785482612866456
Hyper_BLUE_405nm::0214,0.07206461682425637,0.13133872062199634
Hyper_BLUE_412nm::0214,0.09012839458180273,0.08631395698729236
Hyper_BLUE_420nm::0214,0.010546537609560465,0.051613507465357235
Hyper_BLUE_427nm::0214,0.09830945289243648,0.12517339374910738
Hyper_BLUE_434nm::0214,0.13421139496531773,0.1389198625742067
Hyper_BLUE_442nm::0214,0.09737826124911315,0.09406483085844448
Hyper_BLUE_449nm::0214,0.09939529481636071,0.09537256162580307
Hyper_BLUE_457nm::0214,0.07493324812939074,0.06505472685085781
Hyper_BLUE_464nm::0214,0.05713666352764699,0.046674380773646086
Hyper_BLUE_471nm::0214,0.030486297325034502,0.02348089112110329
Hyper_BLUE_479nm::0214,0.05184913497730891,0.04510597636377422
Hyper_BLUE_486nm::0214,0.03992746356810452,0.040125656920630075
Hyper_BLUE_493nm::0214,0.0670494615838551,0.06210864152860035
Hyper_BLUE_501nm::0214,0.05570272547401539,0.059294751154160406
Hyper_BLUE_508nm::0214,0.062446546025350436,0.06781697046769807
Hyper_BLUE_515nm::0214,-6.624350687913842e-4,0.012884224057740166
Hyper_BLUE_523nm::0214,0.02138603131673019,0.028668640996265836
Hyper_BLUE_530nm::0214,0.01687524520891609,0.018751978232240157
Hyper_BLUE_538nm::0214,0.04067482667949562,0.04191248558587666
Hyper_BLUE_545nm::0214,0.03659488237176397,0.039752312425920165
Hyper_BLUE_552nm::0214,0.04174665952737085,0.03925374326412834
Hyper_BLUE_560nm::0214,0.04387387707378846,0.04642230050035737
Hyper_BLUE_567nm::0214,0.061797561129506254,0.06736694737667451
Hyper_BLUE_574nm::0214,0.024098511847282993,0.032787743577054
Hyper_BLUE_582nm::0214,0.053079490641675525,0.05728572624997552
Hyper_BLUE_589nm::0214,0.03470273814947393,0.04888081834364736
Hyper_BLUE_596nm::0214,0.049003426967802105,0.05113361405386331
Hyper_BLUE_604nm::0214,0.04241185745171228,0.0512161479885846
Hyper_BLUE_611nm::0214,0.057159354852836707,0.07148733802251189
Hyper_BLUE_619nm::0214,0.07742013358263439,0.08950774490508383
Hyper_BLUE_626nm::0214,0.045724442583493535,0.05517212940202874
Hyper_BLUE_633nm::0214,0.052572400219992606,0.06405150620584316
Hyper_BLUE_641nm::0214,0.09444297285764679,0.1096998930921047
Hyper_BLUE_648nm::0214,0.09416253196955009,0.10911618591349648
Hyper_BLUE_655nm::0214,0.1335226526055509,0.14039609161784078
Hyper_BLUE_663nm::0214,0.13481568932439192,0.14767417451835127
Hyper_BLUE_670nm::0214,0.1337000046827533,0.1253034626803143
Hyper_BLUE_678nm::0214,0.11991899097538566,0.1314869374555046
Hyper_BLUE_685nm::0214,0.11043952949767316,0.12301956272669008
Hyper_BLUE_692nm::0214,0.09826782521321945,0.10710948114913255
Hyper_BLUE_700nm::0214,0.032463541544269864,0.0461617607191244
Hyper_BLUE_707nm::0214,0.015771014216618248,0.022867588853350187
Hyper_BLUE_714nm::0214,0.020917209218747738,0.026628828796769494
Hyper_BLUE_722nm::0214,0.0016416454487527114,0.002669998501555902
Hyper_BLUE_729nm::0214,0.0034291187469632964,-0.002225241016531753
Hyper_BLUE_736nm::0214,0.011271320230007544,0.011657070292537638
Hyper_BLUE_744nm::0214,0.031214516170388344,0.030787298247004737
Hyper_BLUE_751nm::0214,0.034697863449534586,0.03696587693035071
Hyper_BLUE_759nm::0214,0.07626452409113707,0.09335480828958115
Hyper_BLUE_766nm::0214,0.011452898527553483,0.010451350695007145
Hyper_BLUE_773nm::0214,0.03759378205532438,0.04499065949933511
Hyper_BLUE_781nm::0214,0.03614446193420057,0.046248013863208946
Hyper_BLUE_788nm::0214,0.03599646511046251,0.04522436548058016
Hyper_BLUE_795nm::0214,0.04360339992898951,0.04983117130341257
Hyper_BLUE_803nm::0214,0.022212377206462006,0.032732797659396656
Hyper_BLUE_810nm::0214,0.045109242895427865,0.05714332806406614
Hyper_BLUE_818nm::0214,0.032011349583455424,0.043454731910934456
Hyper_BLUE_825nm::0214,0.03620615831424641,0.04388059460078955
Hyper_BLUE_832nm::0214,0.03365439267107374,0.04258269721917244
Hyper_BLUE_840nm::0214,0.016494433864359184,0.02864182292329716
Hyper_BLUE_847nm::0214,0.012935732249807687,0.033978153288656956
Hyper_BLUE_398nm::0219,-0.2032079346041797,-0.16816390781518645
Hyper_BLUE_405nm::0219,-0.07883438158583912,-0.0397185767597058
Hyper_BLUE_412nm::0219,-0.06627347630020279,-0.02303585029282372
Hyper_BLUE_420nm::0219,-0.08042948694197521,-0.07296742062017862
Hyper_BLUE_427nm::0219,-0.13813742633437573,-0.11711477601714201
Hyper_BLUE_434nm::0219,-0.11703036301186692,-0.10321301948307349
Hyper_BLUE_442nm::0219,-0.058076921859421614,0.002548404174031075
Hyper_BLUE_449nm::0219,-0.05338905927068954,-0.012703061613909352
Hyper_BLUE_457nm::0219,-0.0259690139827255,0.01707823543700926
Hyper_BLUE_464nm::0219,-0.0568924373271562,-0.024905327303854648
Hyper_BLUE_471nm::0219,-0.0667472923973758,-0.004381751541901074
Hyper_BLUE_479nm::0219,-0.0528573938390461,0.021654766061198216
Hyper_BLUE_486nm::0219,-0.05675757779179282,0.014156660104013934
Hyper_BLUE_493nm::0219,-0.05054562394384137,0.020146704379558636
Hyper_BLUE_501nm::0219,-0.0664909274676635,-0.014362865361877206
Hyper_BLUE_508nm::0219,-0.08967320198330798,-0.0306031400470499
Hyper_BLUE_515nm::0219,-0.09544111008463729,-0.039054779577674247
Hyper_BLUE_523nm::0219,-0.09922841114279671,-0.04291346573986438
Hyper_BLUE_530nm::0219,-0.12347011908451713,-0.08123162101465692
Hyper_BLUE_538nm::0219,-0.1389759892716202,-0.09389097678411006
Hyper_BLUE_545nm::0219,-0.13477386883937267,-0.0834508438002776
Hyper_BLUE_552nm::0219,-0.14143242726971203,-0.09713557047827745
Hyper_BLUE_560nm::0219,-0.12937206383399583,-0.08712667692655984
Hyper_BLUE_567nm::0219,-0.13868513846698474,-0.081270651356647
Hyper_BLUE_574nm::0219,-0.12596919778193885,-0.06751406793472826
Hyper_BLUE_582nm::0219,-0.13036722989884308,-0.07346858326907593
Hyper_BLUE_589nm::0219,-0.12602396406280258,-0.07811698180631824
Hyper_BLUE_596nm::0219,-0.12778257186497552,-0.06893570573540049
Hyper_BLUE_604nm::0219,-0.10433263944828004,-0.051657554240771654
Hyper_BLUE_611nm::0219,-0.1308285792158,-0.08317959105146834
Hyper_BLUE_619nm::0219,-0.1305520291766242,-0.08505262066029735
Hyper_BLUE_626nm::0219,-0.12942938307309282,-0.08266761050904624
Hyper_BLUE_633nm::0219,-0.12539028652564468,-0.08342719687870166
Hyper_BLUE_641nm::0219,-0.14261993879291468,-0.10057562183750762
Hyper_BLUE_648nm::0219,-0.14008811475877345,-0.09598861036268143
Hyper_BLUE_655nm::0219,-0.14202719912002776,-0.10115401626809854
Hyper_BLUE_663nm::0219,-0.13100561838422195,-0.09281559734317399
Hyper_BLUE_670nm::0219,-0.11517922680911648,-0.07385947853499708
Hyper_BLUE_678nm::0219,-0.12274994086285361,-0.0849815113745139
Hyper_BLUE_685nm::0219,-0.13659976999538734,-0.09889680632833207
Hyper_BLUE_692nm::0219,-0.1257612608126974,-0.09139507563957566
Hyper_BLUE_700nm::0219,-0.13439329639787306,-0.09091436300688274
Hyper_BLUE_707nm::0219,-0.1289463440619011,-0.08444520161829502
Hyper_BLUE_714nm::0219,-0.15739816802852527,-0.12097893618973489
Hyper_BLUE_722nm::0219,-0.12629011127735582,-0.11154865199520184
Hyper_BLUE_729nm::0219,-0.07638092923655204,-0.07002743492626483
Hyper_BLUE_736nm::0219,-0.05392899384802838,-0.05864103850349091
Hyper_BLUE_744nm::0219,-0.03839590478796214,-0.04221265647204063
Hyper_BLUE_751nm::0219,-0.02241627830079291,-0.030675802338355825
Hyper_BLUE_759nm::0219,-0.0793334155466926,-0.06793003510404672
Hyper_BLUE_766nm::0219,0.04920538845283123,0.03730085717486342
Hyper_BLUE_773nm::0219,-0.019677254857090754,-0.021531783295366178
Hyper_BLUE_781nm::0219,-0.029730777020200563,-0.028138487061589126
Hyper_BLUE_788nm::0219,-0.028067661906466104,-0.027511461101775016
Hyper_BLUE_795nm::0219,-0.03558384551484232,-0.0341008213581584
Hyper_BLUE_803nm::0219,-0.037180634353861625,-0.04011231310831336
Hyper_BLUE_810nm::0219,-0.058735676636444814,-0.05010129697206651
Hyper_BLUE_818nm::0219,-0.039437108559935874,-0.03689097472768908
Hyper_BLUE_825nm::0219,-0.013015977781177551,-0.014085343294980075
Hyper_BLUE_832nm::0219,-0.016488043286186596,-0.01316273088747547
Hyper_BLUE_840nm::0219,-0.009996158852871799,-0.009034079034418479
Hyper_BLUE_847nm::0219,-0.024316890958431536,-0.020807035883253045
Hyper_BLUE_398nm::0227,0.2721073693479404,0.23752817268417442
Hyper_BLUE_405nm::0227,0.1185635660623287,0.10724325846435176
Hyper_BLUE_412nm::0227,0.2120922523583347,0.17590190201474462
Hyper_BLUE_420nm::0227,0.1487818376963767,0.11635702118013613
Hyper_BLUE_427nm::0227,0.188090627903775,0.14456326848147566
Hyper_BLUE_434nm::0227,0.17856560994350806,0.19942188777411024
Hyper_BLUE_442nm::0227,0.23264783278908596,0.25289261370822136
Hyper_BLUE_449nm::0227,0.15877174406788716,0.19242787366970407
Hyper_BLUE_457nm::0227,0.2155912313481028,0.26039806766291207
Hyper_BLUE_464nm::0227,0.17812336792722339,0.1965345868560462
Hyper_BLUE_471nm::0227,0.1499774169210683,0.17911143685085598
Hyper_BLUE_479nm::0227,0.19002659830541738,0.21437597377064121
Hyper_BLUE_486nm::0227,0.17822667897546185,0.1961157313103876
Hyper_BLUE_493nm::0227,0.1798730069034343,0.2146785450473249
